agent,credit_score,approval_rate
risk_manager,620,28.29861111111111
risk_manager,650,52.517361111111114
risk_manager,680,71.00694444444444
risk_manager,720,87.5
risk_manager,780,95.3125
regulatory,620,35.32986111111111
regulatory,650,61.37152777777778
regulatory,680,75.69444444444444
regulatory,720,90.10416666666666
regulatory,780,95.92013888888889
data_science,620,65.27777777777779
data_science,650,83.24652777777779
data_science,680,88.97569444444444
data_science,720,95.57291666666666
data_science,780,97.82986111111111
consumer_advocate,620,59.375
consumer_advocate,650,67.70833333333334
consumer_advocate,680,83.33333333333334
consumer_advocate,720,87.5
consumer_advocate,780,100.0
